name,price,rating,image_url,source,product_link-href
"The Formularx Peptide Ceramide Moisturizer - Barrier Plus Nourishing Barrier Repair Moisturizer For Normal, Dry, Compromised, Sensitive skin 50 g",592,4.4,https://m.media-amazon.com/images/I/41qM0f9BAVL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE4NDA3MTc1NTY2OTI4OjE3NDgzNjA1ODc6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA1NDE1MDEzNTk2MzI6OjQ6Og&url=%2FFormularx-Peptide-Ceramide-Moisturizer-Compromised%2Fdp%2FB0BRSTX8MH%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%253Aamzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%26crid%3DYL6MWHSCBBQX%26cv_ct_cx%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26pd_rd_i%3DB0BRSTX8MH%26pd_rd_r%3D26d5ecca-2fde-43b8-913f-24961527c9cd%26pd_rd_w%3DmqVNk%26pd_rd_wg%3DURSzm%26pf_rd_p%3D69d50697-b48f-4ca5-8730-69f742c2de92%26pf_rd_r%3DB2TXV1NW9H3YSVKMC0Z4%26qid%3D1748360587%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D1-5-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
"Cos-IQ CPM 2% Ceramides Moisturizer with Peptides for Intense Moisturizing and Skin Strengthening | Barrier Repair Cream | For Oily, Dry, Normal & Sensitive Skin | 100ml",295,4.3,https://m.media-amazon.com/images/I/71DNbxEtNbL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE4NDA3MTc1NTY2OTI4OjE3NDgzNjA1ODc6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA0ODIwOTkzMzczMzI6OjM6Og&url=%2FCeramides-Moisturizer-Moisturizing-Strengthening-Sensitive%2Fdp%2FB0D9R3QJTF%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%253Aamzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%26crid%3DYL6MWHSCBBQX%26cv_ct_cx%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26pd_rd_i%3DB0D9R3QJTF%26pd_rd_r%3D26d5ecca-2fde-43b8-913f-24961527c9cd%26pd_rd_w%3DmqVNk%26pd_rd_wg%3DURSzm%26pf_rd_p%3D69d50697-b48f-4ca5-8730-69f742c2de92%26pf_rd_r%3DB2TXV1NW9H3YSVKMC0Z4%26qid%3D1748360587%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D1-4-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
Sadhev Aloe Vera and Saffron Gel With Kumkumadi Tailam,854,4.2,https://m.media-amazon.com/images/I/51Cql4nRZjL._SX466_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE4NDA3MTc1NTY2OTI4OjE3NDgzNjA1ODc6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAwOTAxNjUyNTIzMzI6OjI6Og&url=%2FSadhev-Aloe-Vera-Saffron-Kumkumadi-Tailam%2Fdp%2FB0B1581VD7%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%253Aamzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%26crid%3DYL6MWHSCBBQX%26cv_ct_cx%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26pd_rd_i%3DB0B1581VD7%26pd_rd_r%3D26d5ecca-2fde-43b8-913f-24961527c9cd%26pd_rd_w%3DmqVNk%26pd_rd_wg%3DURSzm%26pf_rd_p%3D69d50697-b48f-4ca5-8730-69f742c2de92%26pf_rd_r%3DB2TXV1NW9H3YSVKMC0Z4%26qid%3D1748360587%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D1-3-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
"Gabit Salicylic Acid & Green Tea Face Moisturiser For Acne, Blackheads & Open Pores | Oil free, Lightweight Moisturizer, Exfoliates, Brightens skin |Ceramides, Niacinamide, CiCa |For Women & Men, 50ml",426,4,https://m.media-amazon.com/images/I/31qkXSFkrUL._SY300_SX300_QL70_FMwebp_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE4NDA3MTc1NTY2OTI4OjE3NDgzNjA1ODc6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAxNDU3NTI2OTAxMzI6OjE6Og&url=%2FGabit-Moisturiser-Lightweight-Moisturizer-Niacinamide%2Fdp%2FB0CRRWJ6JP%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%253Aamzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%26crid%3DYL6MWHSCBBQX%26cv_ct_cx%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26pd_rd_i%3DB0CRRWJ6JP%26pd_rd_r%3D26d5ecca-2fde-43b8-913f-24961527c9cd%26pd_rd_w%3DmqVNk%26pd_rd_wg%3DURSzm%26pf_rd_p%3D69d50697-b48f-4ca5-8730-69f742c2de92%26pf_rd_r%3DB2TXV1NW9H3YSVKMC0Z4%26qid%3D1748360587%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D1-2-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
"Put Simply Hydrating Gel Face Korean Moisturizer for Dry, Oily & Sensitive Skin with 3% Niacinamide, 7% Cica, Ceramides, HA | Fragrance Free, Ultra Lightweight & Fast Absorbing | For Men & Women | 50 ml",711,4.2,https://m.media-amazon.com/images/I/61tUoZyOYpL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjE4NDA3MTc1NTY2OTI4OjE3NDgzNjA1ODc6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA0MjQ4MjEzNzY3MzI6OjA6Og&url=%2FPut-Simply-Moisturizer-Combination-Niacinamide%2Fdp%2FB0BCZHM4MQ%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%253Aamzn1.sym.69d50697-b48f-4ca5-8730-69f742c2de92%26crid%3DYL6MWHSCBBQX%26cv_ct_cx%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26pd_rd_i%3DB0BCZHM4MQ%26pd_rd_r%3D26d5ecca-2fde-43b8-913f-24961527c9cd%26pd_rd_w%3DmqVNk%26pd_rd_wg%3DURSzm%26pf_rd_p%3D69d50697-b48f-4ca5-8730-69f742c2de92%26pf_rd_r%3DB2TXV1NW9H3YSVKMC0Z4%26qid%3D1748360587%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D1-1-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1
Deconstruct Oil-Free Moisturizer For Oily Skin | 3% NMF Complex + 0.2% Panthenol | Lightweight Gel Moisturizer | For Oily to Combination Skin | 50gm,326,4.1,https://m.media-amazon.com/images/I/41OeVJhkhnL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjE1NzU5OTc0NzI2NzczOjE3NDgzNjA1ODc6c3BfYnRmOjMwMDQzMzI2MzUyMzAzMjo6MDo6&url=%2FDeconstruct-Oil-Free-Moisturizer-Oily-Skin%2Fdp%2FB09NGMRL51%2Fref%3Dsr_1_36_sspa%3Fcrid%3DYL6MWHSCBBQX%26dib%3DeyJ2IjoiMSJ9.XkuSpvKjjER5qAXKvkBPwa1Yi3Gx0leJXIrz2m7pVgYKTgIIOWFL8dtSpXdfyLnoEsPqKfkK-lXslbq83CmmnR3Yyn1N4g_-yAkRVhGpF75ofpCOR6RQeWCfABnNRw6UNGdIOXMryjL1xwP7N7SPBv5JuFrduvboEAFrBg6csC5wm_oAwbdsUszQBYgshKVJkjj4W4XmrJI7G50Z2r_YxF-qZ9IAcaMuK8gHruLyKeSqoPtOIaupZZoDTHlzPxckZfU6xiXhRjr8J54lkELMw7BD_WEaYXsgF3psVRL5RCY.ePlwo_PBXekDo_Ej3VhYVBvI2TqWp2lCuHRLMb9wl2w%26dib_tag%3Dse%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26qid%3D1748360587%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D8-36-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"simple Active Skin Barrier Care Smoothing Gel Face Cleanser 150Ml With 5% Lactic Acid,Hyaluronic Acid&Ceramide Boosters|Gentle Exfoliating Face Wash For Brighter,Even-Tone,Smoother Skin,For Women&Men",299,4,https://m.media-amazon.com/images/I/41O9eTbPAgL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjE1NzU5OTc0NzI2NzczOjE3NDgzNjA1ODc6c3BfYnRmOjMwMDQ4NzQxMzM4NTQzMjo6MDo6&url=%2FSmoothing-Cleanser-Ceramide-Hyaluronic-exfoliates%2Fdp%2FB0CHS5WQ3W%2Fref%3Dsr_1_35_sspa%3Fcrid%3DYL6MWHSCBBQX%26dib%3DeyJ2IjoiMSJ9.XkuSpvKjjER5qAXKvkBPwa1Yi3Gx0leJXIrz2m7pVgYKTgIIOWFL8dtSpXdfyLnoEsPqKfkK-lXslbq83CmmnR3Yyn1N4g_-yAkRVhGpF75ofpCOR6RQeWCfABnNRw6UNGdIOXMryjL1xwP7N7SPBv5JuFrduvboEAFrBg6csC5wm_oAwbdsUszQBYgshKVJkjj4W4XmrJI7G50Z2r_YxF-qZ9IAcaMuK8gHruLyKeSqoPtOIaupZZoDTHlzPxckZfU6xiXhRjr8J54lkELMw7BD_WEaYXsgF3psVRL5RCY.ePlwo_PBXekDo_Ej3VhYVBvI2TqWp2lCuHRLMb9wl2w%26dib_tag%3Dse%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26qid%3D1748360587%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D8-35-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"MINSKINN SKINCARE Niacinamide Face Cleanser 100Ml - Gentle And Hydrating Face Wash With Hyaluronic Acid, Best For Oily, Dry And Acne-Prone Skin",359,5,https://m.media-amazon.com/images/I/615bnYGX6HL._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjE1NzU5OTc0NzI2NzczOjE3NDgzNjA1ODc6c3BfYnRmOjMwMDQ5NDExNDE2NTAzMjo6MDo6&url=%2FMinskinn-Niacinamide-Face-Cleanser-Women%2Fdp%2FB0D41ZX61C%2Fref%3Dsr_1_34_sspa%3Fcrid%3DYL6MWHSCBBQX%26dib%3DeyJ2IjoiMSJ9.XkuSpvKjjER5qAXKvkBPwa1Yi3Gx0leJXIrz2m7pVgYKTgIIOWFL8dtSpXdfyLnoEsPqKfkK-lXslbq83CmmnR3Yyn1N4g_-yAkRVhGpF75ofpCOR6RQeWCfABnNRw6UNGdIOXMryjL1xwP7N7SPBv5JuFrduvboEAFrBg6csC5wm_oAwbdsUszQBYgshKVJkjj4W4XmrJI7G50Z2r_YxF-qZ9IAcaMuK8gHruLyKeSqoPtOIaupZZoDTHlzPxckZfU6xiXhRjr8J54lkELMw7BD_WEaYXsgF3psVRL5RCY.ePlwo_PBXekDo_Ej3VhYVBvI2TqWp2lCuHRLMb9wl2w%26dib_tag%3Dse%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26qid%3D1748360587%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
CeraVe Moisturizing Cream For Dry To Very Dry Skin (340gm) - Formulated with 3 Essential Ceramides And Hyaluronic Acid | Non-Comedogenic Moisturizer For Face and Body,"1,500",4.3,https://m.media-amazon.com/images/I/612ngqcfd0L._SY355_.jpg,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjE1NzU5OTc0NzI2NzczOjE3NDgzNjA1ODc6c3BfYnRmOjMwMDE5NDgwOTIyNjYzMjo6MDo6&url=%2FCeraVe-Moisturising-Cream-Jar-340g%2Fdp%2FB07CH9XWHR%2Fref%3Dsr_1_33_sspa%3Fcrid%3DYL6MWHSCBBQX%26dib%3DeyJ2IjoiMSJ9.XkuSpvKjjER5qAXKvkBPwa1Yi3Gx0leJXIrz2m7pVgYKTgIIOWFL8dtSpXdfyLnoEsPqKfkK-lXslbq83CmmnR3Yyn1N4g_-yAkRVhGpF75ofpCOR6RQeWCfABnNRw6UNGdIOXMryjL1xwP7N7SPBv5JuFrduvboEAFrBg6csC5wm_oAwbdsUszQBYgshKVJkjj4W4XmrJI7G50Z2r_YxF-qZ9IAcaMuK8gHruLyKeSqoPtOIaupZZoDTHlzPxckZfU6xiXhRjr8J54lkELMw7BD_WEaYXsgF3psVRL5RCY.ePlwo_PBXekDo_Ej3VhYVBvI2TqWp2lCuHRLMb9wl2w%26dib_tag%3Dse%26keywords%3DSkincare%2BProducts%2B%2528like%2Bface%2Bcreams%252C%2Bcleansers%252C%2Bmoisturizers%2529%26qid%3D1748360587%26sprefix%3Dskincare%2Bproducts%252Caps%252C2352%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lilium Hyaluronic Facial Kit, 400g, 4 Step Deep Cleansing, Wrinkle Lift, Nourishing, Extra Glow & Fair Complexion, Oily & Dry Skin, Women & Men, All Skin Type Paraben & Sulfate Free",719,,https://m.media-amazon.com/images/I/617ICN+bRnL._SY355_.jpg,Amazon,https://www.amazon.in/Lilium-Hyaluronic-Cleansing-Nourishing-Complexion/dp/B0CFV924C3/ref=sr_1_32?crid=YL6MWHSCBBQX&dib=eyJ2IjoiMSJ9.XkuSpvKjjER5qAXKvkBPwa1Yi3Gx0leJXIrz2m7pVgYKTgIIOWFL8dtSpXdfyLnoEsPqKfkK-lXslbq83CmmnR3Yyn1N4g_-yAkRVhGpF75ofpCOR6RQeWCfABnNRw6UNGdIOXMryjL1xwP7N7SPBv5JuFrduvboEAFrBg6csC5wm_oAwbdsUszQBYgshKVJkjj4W4XmrJI7G50Z2r_YxF-qZ9IAcaMuK8gHruLyKeSqoPtOIaupZZoDTHlzPxckZfU6xiXhRjr8J54lkELMw7BD_WEaYXsgF3psVRL5RCY.ePlwo_PBXekDo_Ej3VhYVBvI2TqWp2lCuHRLMb9wl2w&dib_tag=se&keywords=Skincare+Products+%28like+face+creams%2C+cleansers%2C+moisturizers%29&qid=1748360587&sprefix=skincare+products%2Caps%2C2352&sr=8-32
